pair_id,label,annotator,note,timestamp
1,0,anonymous,,2026-03-18T15:16:59
2,0,anonymous,,2026-03-18T15:17:03
3,1,anonymous,,2026-03-18T15:17:04
4,0,anonymous,,2026-03-18T15:17:05
5,0,anonymous,,2026-03-18T15:17:06
6,1,anonymous,,2026-03-18T15:17:07
7,0,anonymous,,2026-03-18T15:17:08
8,0,anonymous,,2026-03-18T15:17:09
9,3,anonymous,,2026-03-18T15:17:13
10,0,anonymous,,2026-03-18T15:17:20
11,0,anonymous,,2026-03-18T15:17:21
12,1,anonymous,,2026-03-18T15:17:23
13,0,anonymous,,2026-03-18T15:17:25
14,0,anonymous,,2026-03-18T15:17:26
15,2,anonymous,,2026-03-18T15:17:28
16,0,anonymous,,2026-03-18T15:17:29
17,0,anonymous,,2026-03-18T15:17:30
18,1,anonymous,,2026-03-18T15:17:32
19,0,anonymous,,2026-03-18T15:17:33
20,2,anonymous,,2026-03-18T15:17:36
21,1,anonymous,,2026-03-18T15:17:38
22,0,anonymous,,2026-03-18T15:17:39
23,0,anonymous,,2026-03-18T15:17:39
24,1,anonymous,,2026-03-18T15:17:41
25,1,anonymous,,2026-03-18T15:17:43
26,0,anonymous,,2026-03-18T15:17:44
27,1,anonymous,,2026-03-18T15:17:45
28,0,anonymous,,2026-03-18T15:17:46
29,0,anonymous,,2026-03-18T15:17:47
30,2,anonymous,,2026-03-18T15:17:49
31,0,anonymous,,2026-03-18T15:17:50
32,0,anonymous,,2026-03-18T15:17:51
33,2,anonymous,,2026-03-18T15:17:59
34,0,anonymous,,2026-03-18T15:17:59
35,0,anonymous,,2026-03-18T15:18:00
36,1,anonymous,,2026-03-18T15:18:01
37,0,anonymous,,2026-03-18T15:18:01
38,0,anonymous,,2026-03-18T15:18:02
39,2,anonymous,,2026-03-18T15:18:04
40,0,anonymous,,2026-03-18T15:18:05
41,0,anonymous,,2026-03-18T15:18:06
42,1,anonymous,,2026-03-18T15:18:19
43,0,anonymous,,2026-03-18T15:18:20
44,0,anonymous,,2026-03-18T15:18:29
45,0,anonymous,,2026-03-18T15:18:31
46,0,anonymous,,2026-03-18T15:18:33
47,0,anonymous,,2026-03-18T15:18:34
48,0,anonymous,,2026-03-18T15:18:35
49,0,anonymous,,2026-03-18T15:18:38
50,0,anonymous,,2026-03-18T15:18:38
