pair_id,img_a,img_b,stratum,is_pcg,pcg_seed,label,annotator,note,timestamp
1,scripts/test photo for similarity_label_tool/104.jpg,scripts/test photo for similarity_label_tool/47.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:34:54
2,scripts/test photo for similarity_label_tool/14.jpg,scripts/test photo for similarity_label_tool/140.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:34:54
3,scripts/test photo for similarity_label_tool/32.jpg,__PCG_GENERATED__,pcg_generated,1,42027654,2,anonymous,,2026-03-19T12:34:56
4,scripts/test photo for similarity_label_tool/116.jpg,scripts/test photo for similarity_label_tool/47.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:34:58
5,scripts/test photo for similarity_label_tool/173.jpg,scripts/test photo for similarity_label_tool/29.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:34:59
6,scripts/test photo for similarity_label_tool/119.jpg,__PCG_GENERATED__,pcg_generated,1,42055182,1,anonymous,,2026-03-19T12:35:00
7,scripts/test photo for similarity_label_tool/104.jpg,scripts/test photo for similarity_label_tool/113.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:35:05
8,scripts/test photo for similarity_label_tool/14.jpg,scripts/test photo for similarity_label_tool/20.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:35:06
9,scripts/test photo for similarity_label_tool/104.jpg,__PCG_GENERATED__,pcg_generated,1,42082710,1,anonymous,,2026-03-19T12:35:07
10,scripts/test photo for similarity_label_tool/134.jpg,scripts/test photo for similarity_label_tool/27.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:35:08
11,scripts/test photo for similarity_label_tool/14.jpg,scripts/test photo for similarity_label_tool/176.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:35:09
12,scripts/test photo for similarity_label_tool/47.jpg,__PCG_GENERATED__,pcg_generated,1,42110238,2,anonymous,,2026-03-19T12:35:10
13,scripts/test photo for similarity_label_tool/68.jpg,scripts/test photo for similarity_label_tool/8.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:35:12
14,scripts/test photo for similarity_label_tool/50.jpg,scripts/test photo for similarity_label_tool/68.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:35:12
15,scripts/test photo for similarity_label_tool/146.jpg,__PCG_GENERATED__,pcg_generated,1,42137766,2,anonymous,,2026-03-19T12:35:15
16,scripts/test photo for similarity_label_tool/173.jpg,scripts/test photo for similarity_label_tool/38.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:35:16
17,scripts/test photo for similarity_label_tool/125.jpg,scripts/test photo for similarity_label_tool/146.jpg,same_dir,0,0,1,anonymous,,2026-03-19T12:35:21
18,scripts/test photo for similarity_label_tool/140.jpg,__PCG_GENERATED__,pcg_generated,1,42165294,1,anonymous,,2026-03-19T12:35:23
19,scripts/test photo for similarity_label_tool/50.jpg,scripts/test photo for similarity_label_tool/95.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:35:23
20,scripts/test photo for similarity_label_tool/113.jpg,scripts/test photo for similarity_label_tool/116.jpg,same_dir,0,0,2,anonymous,,2026-03-19T12:35:25
21,scripts/test photo for similarity_label_tool/14.jpg,__PCG_GENERATED__,pcg_generated,1,42192822,2,anonymous,,2026-03-19T12:35:26
22,scripts/test photo for similarity_label_tool/116.jpg,scripts/test photo for similarity_label_tool/161.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:35:27
23,scripts/test photo for similarity_label_tool/143.jpg,scripts/test photo for similarity_label_tool/30.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:35:31
24,scripts/test photo for similarity_label_tool/122.jpg,__PCG_GENERATED__,pcg_generated,1,42220350,1,anonymous,,2026-03-19T12:35:33
25,scripts/test photo for similarity_label_tool/179.jpg,scripts/test photo for similarity_label_tool/44.jpg,same_dir,0,0,1,anonymous,,2026-03-19T12:35:34
26,scripts/test photo for similarity_label_tool/89.jpg,scripts/test photo for similarity_label_tool/98.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:35:35
27,scripts/test photo for similarity_label_tool/47.jpg,__PCG_GENERATED__,pcg_generated,1,42247878,2,anonymous,,2026-03-19T12:35:36
28,scripts/test photo for similarity_label_tool/113.jpg,scripts/test photo for similarity_label_tool/27.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:35:37
29,scripts/test photo for similarity_label_tool/32.jpg,scripts/test photo for similarity_label_tool/74.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:35:38
30,scripts/test photo for similarity_label_tool/116.jpg,__PCG_GENERATED__,pcg_generated,1,42275406,1,anonymous,,2026-03-19T12:35:39
31,scripts/test photo for similarity_label_tool/134.jpg,scripts/test photo for similarity_label_tool/28.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:35:40
32,scripts/test photo for similarity_label_tool/107.jpg,scripts/test photo for similarity_label_tool/34.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:35:41
33,scripts/test photo for similarity_label_tool/35.jpg,__PCG_GENERATED__,pcg_generated,1,42302934,2,anonymous,,2026-03-19T12:35:42
34,scripts/test photo for similarity_label_tool/149.jpg,scripts/test photo for similarity_label_tool/56.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:35:43
35,scripts/test photo for similarity_label_tool/14.jpg,scripts/test photo for similarity_label_tool/77.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:35:44
36,scripts/test photo for similarity_label_tool/47.jpg,__PCG_GENERATED__,pcg_generated,1,42330462,1,anonymous,,2026-03-19T12:35:45
37,scripts/test photo for similarity_label_tool/146.jpg,scripts/test photo for similarity_label_tool/167.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:35:46
38,scripts/test photo for similarity_label_tool/128.jpg,scripts/test photo for similarity_label_tool/164.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:35:47
39,scripts/test photo for similarity_label_tool/83.jpg,__PCG_GENERATED__,pcg_generated,1,42357990,2,anonymous,,2026-03-19T12:35:48
40,scripts/test photo for similarity_label_tool/137.jpg,scripts/test photo for similarity_label_tool/34.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:35:49
41,scripts/test photo for similarity_label_tool/38.jpg,scripts/test photo for similarity_label_tool/89.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:35:51
42,scripts/test photo for similarity_label_tool/26.jpg,__PCG_GENERATED__,pcg_generated,1,42385518,2,anonymous,,2026-03-19T12:35:52
43,scripts/test photo for similarity_label_tool/30.jpg,scripts/test photo for similarity_label_tool/32.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:35:53
44,scripts/test photo for similarity_label_tool/26.jpg,scripts/test photo for similarity_label_tool/44.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:35:55
45,scripts/test photo for similarity_label_tool/113.jpg,__PCG_GENERATED__,pcg_generated,1,42413046,1,anonymous,,2026-03-19T12:35:57
46,scripts/test photo for similarity_label_tool/128.jpg,scripts/test photo for similarity_label_tool/179.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:35:59
47,scripts/test photo for similarity_label_tool/146.jpg,scripts/test photo for similarity_label_tool/89.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:36:00
48,scripts/test photo for similarity_label_tool/29.jpg,__PCG_GENERATED__,pcg_generated,1,42440574,1,anonymous,,2026-03-19T12:36:02
49,scripts/test photo for similarity_label_tool/155.jpg,scripts/test photo for similarity_label_tool/35.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:36:03
50,scripts/test photo for similarity_label_tool/14.jpg,scripts/test photo for similarity_label_tool/71.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:36:04
51,scripts/test photo for similarity_label_tool/173.jpg,__PCG_GENERATED__,pcg_generated,1,42468102,1,anonymous,,2026-03-19T12:36:05
52,scripts/test photo for similarity_label_tool/155.jpg,scripts/test photo for similarity_label_tool/68.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:36:06
53,scripts/test photo for similarity_label_tool/110.jpg,scripts/test photo for similarity_label_tool/146.jpg,same_dir,0,0,1,anonymous,,2026-03-19T12:36:08
54,scripts/test photo for similarity_label_tool/107.jpg,__PCG_GENERATED__,pcg_generated,1,42495630,2,anonymous,,2026-03-19T12:36:09
55,scripts/test photo for similarity_label_tool/86.jpg,scripts/test photo for similarity_label_tool/92.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:36:11
56,scripts/test photo for similarity_label_tool/137.jpg,scripts/test photo for similarity_label_tool/33.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:36:12
57,scripts/test photo for similarity_label_tool/104.jpg,__PCG_GENERATED__,pcg_generated,1,42523158,1,anonymous,,2026-03-19T12:36:13
58,scripts/test photo for similarity_label_tool/17.jpg,scripts/test photo for similarity_label_tool/80.jpg,same_dir,0,0,0,anonymous,,2026-03-19T12:36:14
59,scripts/test photo for similarity_label_tool/125.jpg,scripts/test photo for similarity_label_tool/143.jpg,same_dir,0,0,1,anonymous,,2026-03-19T12:36:16
