pair_id,label,similarity_score,annotator,note,timestamp
1,0,0.054971,K,,2026-03-19T13:00:45
2,0,0.100000,K,,2026-03-19T13:00:45
3,1,0.078363,K,,2026-03-19T13:00:53
4,0,0.031579,K,,2026-03-19T13:00:55
5,0,0.054971,K,,2026-03-19T14:01:14
6,0,0.100000,K,,2026-03-19T14:01:21
7,0,0.095906,K,,2026-03-19T14:01:22
8,0,0.100000,K,,2026-03-19T14:01:22
9,1,0.177388,K,,2026-03-19T14:01:26
10,0,0.054971,K,,2026-03-19T14:01:26
11,0,0.100000,K,,2026-03-19T14:01:27
12,2,0.196742,K,,2026-03-19T14:01:29
13,0,0.049123,K,,2026-03-19T14:01:30
14,0,0.060819,K,,2026-03-19T14:01:31
15,3,0.087258,K,,2026-03-19T14:01:36
16,0,0.049123,K,,2026-03-19T14:01:37
17,1,0.155073,K,,2026-03-19T14:01:40
18,1,0.100000,K,,2026-03-19T14:01:47
19,0,0.100000,K,,2026-03-19T14:01:49
20,1,0.171565,K,,2026-03-19T14:01:51
21,2,0.100000,K,,2026-03-19T14:01:53
22,0,0.100000,K,,2026-03-19T14:01:55
