pair_id,label,similarity_score,score_hash,score_mse,score_ssim,score_mobilenet,annotator,note,timestamp
1,0,,,,,,K,,2026-04-09T16:57:27
2,0,,,,,,K,,2026-04-09T16:57:27
3,0,,,,,,K,,2026-04-09T16:57:27
4,0,,,,,,K,,2026-04-09T16:57:28
5,0,,,,,,K,,2026-04-09T16:57:28
6,0,,,,,,K,,2026-04-09T16:57:28
7,0,,,,,,K,,2026-04-09T16:57:29
8,0,,,,,,K,,2026-04-09T16:57:29
9,0,,,,,,K,,2026-04-09T16:57:29
10,0,,,,,,K,,2026-04-09T16:57:30
11,0,,,,,,K,,2026-04-09T16:57:30
12,0,0.313152,48.000000,24464.486816,0.365733,0.710505,K,,2026-04-09T16:57:30
13,0,0.152529,16.000000,11162.988770,0.389049,0.344687,K,,2026-04-09T16:57:31
14,0,0.155462,18.000000,19662.906006,0.366006,0.315478,K,,2026-04-09T16:57:31
15,0,0.436923,29.000000,18731.148926,0.143763,0.909598,K,,2026-04-09T16:57:31
16,0,0.169184,16.000000,11242.178223,0.445886,0.400202,K,,2026-04-09T16:57:31
17,0,0.349687,19.000000,15371.144775,0.340168,0.648713,K,,2026-04-09T16:57:32
18,0,0.365782,48.000000,16662.284668,0.150515,0.885940,K,,2026-04-09T16:57:32
19,0,0.220343,47.000000,17598.317871,0.491546,0.401144,K,,2026-04-09T16:57:32
20,0,0.452587,12.000000,8756.039063,0.340918,0.936740,K,,2026-04-09T16:57:33
21,0,0.347311,22.000000,17457.335205,0.241801,0.877003,K,,2026-04-09T16:57:33
22,0,0.241735,47.000000,18885.856934,0.277869,0.472450,K,,2026-04-09T16:57:33
23,0,0.237522,42.000000,20592.962646,0.245546,0.458408,K,,2026-04-09T16:57:34
24,0,0.411247,8.000000,4007.139160,0.631318,0.930565,K,,2026-04-09T16:57:34
25,0,0.312154,21.000000,22651.967773,0.369002,0.779305,K,,2026-04-09T16:57:35
26,0,0.138975,12.000000,12417.167480,0.402252,0.346886,K,,2026-04-09T16:57:35
27,0,0.302274,6.000000,3909.911377,0.565053,0.838469,K,,2026-04-09T16:57:35
28,0,0.198834,19.000000,12903.377686,0.278596,0.440558,K,,2026-04-09T16:57:36
29,0,0.210698,22.000000,5254.295898,0.269093,0.421625,K,,2026-04-09T16:57:36
